44
-240, -14
-200, -17.5
-190, -20
-180, -22.5
-170, -25.5
-160, -32
-150, -28
-140, -24
-130, -19.1
-120, -18.5
-110, -12.5
-100, -5.5
-90, 1.5
-80, 3.3
-70, 5.5
-60, 6.5
-50, 5.5
-40, 5.5
-30, 5.5
-20, 4.5
-10, 0.5
0, 0
10, 0
20, 0
30, -4
40, -3.5
50, 0
60, 3
70, 4.3
80, 7
90, 4.3
100, 0
110, -5
120, -11
130, -9.5
140, -11.5
150, -13
160, -16.5
170, -18
190, -18
200, -20
220, -19
224, -19
240, -17
